MPID,Description
mp-866375,Fe2TiGe is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Fe(1) and six equivalent Ge(1) atoms. All Ti(1)-Fe(1) bond lengths are 2.48 Å. All Ti(1)-Ge(1) bond lengths are 2.87 Å. Fe(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Ge(1) atoms. All Fe(1)-Ge(1) bond lengths are 2.48 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Fe(1) atoms.
mp-5478,"TlPd3O4 crystallizes in the cubic Fm-3m space group. Pd(1) is bonded in a square co-planar geometry to two equivalent Tl(1) and four equivalent O(1) atoms. Both Pd(1)-Tl(1) bond lengths are 3.40 Å. All Pd(1)-O(1) bond lengths are 2.01 Å. There are two inequivalent Tl sites. In the first Tl site, Tl(1) is bonded to twelve equivalent Pd(1) atoms to form TlPd12 cuboctahedra that share corners with twelve equivalent Tl(1)Pd12 cuboctahedra and edges with twenty-four equivalent O(1)TlPd3 tetrahedra. In the second Tl site, Tl(2) is bonded in a body-centered cubic geometry to eight equivalent O(1) atoms. All Tl(2)-O(1) bond lengths are 2.37 Å. O(1) is bonded to three equivalent Pd(1) and one Tl(2) atom to form OTlPd3 tetrahedra that share corners with ten equivalent O(1)TlPd3 tetrahedra, edges with three equivalent Tl(1)Pd12 cuboctahedra, and edges with three equivalent O(1)TlPd3 tetrahedra."
mp-568880,YPd2In is Heusler structured and crystallizes in the cubic Fm-3m space group. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Y(1)-Pd(1) bond lengths are 2.93 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Y(1) and four equivalent In(1) atoms. All Pd(1)-In(1) bond lengths are 2.93 Å. In(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-866213,TiMoTc2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mo(1) and eight equivalent Tc(1) atoms. All Ti(1)-Mo(1) bond lengths are 3.10 Å. All Ti(1)-Tc(1) bond lengths are 2.69 Å. Mo(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Tc(1) atoms. All Mo(1)-Tc(1) bond lengths are 2.69 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Mo(1) atoms.
mp-862374,Pd2CdIn is Heusler structured and crystallizes in the cubic Fm-3m space group. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Cd(1) and four equivalent In(1) atoms. All Pd(1)-Cd(1) bond lengths are 2.82 Å. All Pd(1)-In(1) bond lengths are 2.82 Å. Cd(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. In(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-865131,Hf2OsRh is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Rh(1) atoms. All Hf(1)-Os(1) bond lengths are 2.81 Å. All Hf(1)-Rh(1) bond lengths are 2.81 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms.
mp-865178,Hf2IrRh is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Rh(1) atoms. All Hf(1)-Ir(1) bond lengths are 2.82 Å. All Hf(1)-Rh(1) bond lengths are 2.82 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms.
mp-861625,LiAg2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Ag(1) atoms. All Li(1)-Ag(1) bond lengths are 2.70 Å. Ag(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Zn(1) atoms. All Ag(1)-Zn(1) bond lengths are 2.70 Å. Zn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ag(1) atoms.
mp-3623,Co2MnAl is Heusler structured and crystallizes in the cubic Fm-3m space group. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Co(1) atoms. All Mn(1)-Co(1) bond lengths are 2.45 Å. Co(1) is bonded in a body-centered cubic geometry to four equivalent Mn(1) and four equivalent Al(1) atoms. All Co(1)-Al(1) bond lengths are 2.45 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Co(1) atoms.
mp-863727,LiTiRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Li(1)-Rh(1) bond lengths are 2.59 Å. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Ti(1)-Rh(1) bond lengths are 2.59 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Ti(1) atoms.
mp-867828,BeNbRu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Be(1)-Ru(1) bond lengths are 2.61 Å. Nb(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Nb(1)-Ru(1) bond lengths are 2.61 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent Nb(1) atoms.
mp-867156,ScRu2Ga is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.68 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Ga(1) atoms. All Ru(1)-Ga(1) bond lengths are 2.68 Å. Ga(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ru(1) atoms.
mp-867915,ScCo2Ga is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent Ga(1) atoms. All Sc(1)-Co(1) bond lengths are 2.56 Å. All Sc(1)-Ga(1) bond lengths are 2.96 Å. Co(1) is bonded in a distorted body-centered cubic geometry to four equivalent Sc(1) and four equivalent Ga(1) atoms. All Co(1)-Ga(1) bond lengths are 2.56 Å. Ga(1) is bonded in a 14-coordinate geometry to six equivalent Sc(1) and eight equivalent Co(1) atoms.
mp-1086,"TaC is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ta(1) is bonded to six equivalent C(1) atoms to form a mixture of edge and corner-sharing TaC6 octahedra. The corner-sharing octahedra are not tilted. All Ta(1)-C(1) bond lengths are 2.23 Å. C(1) is bonded to six equivalent Ta(1) atoms to form a mixture of edge and corner-sharing CTa6 octahedra. The corner-sharing octahedra are not tilted."
mp-22154,AuIn2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Au(1) is bonded in a body-centered cubic geometry to eight equivalent In(1) atoms. All Au(1)-In(1) bond lengths are 2.85 Å. In(1) is bonded to four equivalent Au(1) atoms to form a mixture of edge and corner-sharing InAu4 tetrahedra.
mp-864921,MgZrIr2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Mg(1)-Ir(1) bond lengths are 2.77 Å. Zr(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Zr(1)-Ir(1) bond lengths are 2.77 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Zr(1) atoms.
mp-865810,TiWTc2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to six equivalent W(1) and eight equivalent Tc(1) atoms. All Ti(1)-W(1) bond lengths are 3.10 Å. All Ti(1)-Tc(1) bond lengths are 2.69 Å. W(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Tc(1) atoms. All W(1)-Tc(1) bond lengths are 2.69 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent W(1) atoms.
mp-1672,"CaS is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded to six equivalent S(1) atoms to form a mixture of edge and corner-sharing CaS6 octahedra. The corner-sharing octahedra are not tilted. All Ca(1)-S(1) bond lengths are 2.85 Å. S(1) is bonded to six equivalent Ca(1) atoms to form a mixture of edge and corner-sharing SCa6 octahedra. The corner-sharing octahedra are not tilted."
mp-865717,Ti2ReIr is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Re(1) and four equivalent Ir(1) atoms. All Ti(1)-Re(1) bond lengths are 2.68 Å. All Ti(1)-Ir(1) bond lengths are 2.68 Å. Re(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) atoms. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms.
mp-864953,V2CrMn is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to four equivalent Cr(1) and four equivalent Mn(1) atoms. All V(1)-Cr(1) bond lengths are 2.55 Å. All V(1)-Mn(1) bond lengths are 2.55 Å. Cr(1) is bonded in a distorted body-centered cubic geometry to eight equivalent V(1) and six equivalent Mn(1) atoms. All Cr(1)-Mn(1) bond lengths are 2.94 Å. Mn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent V(1) and six equivalent Cr(1) atoms.
mp-867897,ScTaRu2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.75 Å. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Ta(1)-Ru(1) bond lengths are 2.75 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Ta(1) atoms.
mp-862312,LiBePd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Li(1)-Pd(1) bond lengths are 2.48 Å. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Be(1)-Pd(1) bond lengths are 2.48 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Be(1) atoms.
mp-24237,ScH2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent H(1) atoms. All Sc(1)-H(1) bond lengths are 2.06 Å. H(1) is bonded to four equivalent Sc(1) atoms to form a mixture of edge and corner-sharing HSc4 tetrahedra.
mp-864955,CrMn2Co is Heusler structured and crystallizes in the cubic Fm-3m space group. Cr(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Mn(1) atoms. All Cr(1)-Mn(1) bond lengths are 2.55 Å. Mn(1) is bonded in a body-centered cubic geometry to four equivalent Cr(1) and four equivalent Co(1) atoms. All Mn(1)-Co(1) bond lengths are 2.55 Å. Co(1) is bonded in a body-centered cubic geometry to eight equivalent Mn(1) atoms.
mp-11512,LiIrAl2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ir(1) and eight equivalent Al(1) atoms. All Li(1)-Ir(1) bond lengths are 3.00 Å. All Li(1)-Al(1) bond lengths are 2.60 Å. Ir(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Al(1) atoms. All Ir(1)-Al(1) bond lengths are 2.60 Å. Al(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Ir(1) atoms.
mp-865026,Mn2VSi is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Mn(1) and six equivalent Si(1) atoms. All V(1)-Mn(1) bond lengths are 2.44 Å. All V(1)-Si(1) bond lengths are 2.82 Å. Mn(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Si(1) atoms. All Mn(1)-Si(1) bond lengths are 2.44 Å. Si(1) is bonded in a body-centered cubic geometry to six equivalent V(1) and eight equivalent Mn(1) atoms.
mp-865228,LiScPt2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Li(1)-Pt(1) bond lengths are 2.73 Å. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Sc(1)-Pt(1) bond lengths are 2.73 Å. Pt(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Sc(1) atoms.
mp-643,ThO2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Th(1) is bonded in a body-centered cubic geometry to eight equivalent O(1) atoms. All Th(1)-O(1) bond lengths are 2.43 Å. O(1) is bonded to four equivalent Th(1) atoms to form a mixture of edge and corner-sharing OTh4 tetrahedra.
mp-865520,YPd2Cd is Heusler structured and crystallizes in the cubic Fm-3m space group. Y(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Y(1)-Pd(1) bond lengths are 2.92 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Y(1) and four equivalent Cd(1) atoms. All Pd(1)-Cd(1) bond lengths are 2.92 Å. Cd(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-45,"Ca is Copper structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded to twelve equivalent Ca(1) atoms to form a mixture of edge, face, and corner-sharing CaCa12 cuboctahedra. All Ca(1)-Ca(1) bond lengths are 3.94 Å."
mp-866114,HfWTc2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a distorted body-centered cubic geometry to six equivalent W(1) and eight equivalent Tc(1) atoms. All Hf(1)-W(1) bond lengths are 3.17 Å. All Hf(1)-Tc(1) bond lengths are 2.75 Å. W(1) is bonded in a distorted body-centered cubic geometry to six equivalent Hf(1) and eight equivalent Tc(1) atoms. All W(1)-Tc(1) bond lengths are 2.75 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent Hf(1) and four equivalent W(1) atoms.
mp-23067,"K2PdCl6 crystallizes in the cubic Fm-3m space group. K(1) is bonded to twelve equivalent Cl(1) atoms to form KCl12 cuboctahedra that share corners with twelve equivalent K(1)Cl12 cuboctahedra, faces with six equivalent K(1)Cl12 cuboctahedra, and faces with four equivalent Pd(1)Cl6 octahedra. All K(1)-Cl(1) bond lengths are 3.45 Å. Pd(1) is bonded to six equivalent Cl(1) atoms to form PdCl6 octahedra that share faces with eight equivalent K(1)Cl12 cuboctahedra. All Pd(1)-Cl(1) bond lengths are 2.33 Å. Cl(1) is bonded to four equivalent K(1) and one Pd(1) atom to form a mixture of distorted edge, face, and corner-sharing ClK4Pd square pyramids."
mp-864933,Mg2RhAg is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to four equivalent Rh(1) and four equivalent Ag(1) atoms. All Mg(1)-Rh(1) bond lengths are 2.75 Å. All Mg(1)-Ag(1) bond lengths are 2.75 Å. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Mg(1) atoms. Ag(1) is bonded in a body-centered cubic geometry to eight equivalent Mg(1) atoms.
mp-867761,Sc2RuCo is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Co(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.73 Å. All Sc(1)-Co(1) bond lengths are 2.73 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Co(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-866141,Fe2TiSi is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Fe(1) and six equivalent Si(1) atoms. All Ti(1)-Fe(1) bond lengths are 2.44 Å. All Ti(1)-Si(1) bond lengths are 2.82 Å. Fe(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Si(1) atoms. All Fe(1)-Si(1) bond lengths are 2.44 Å. Si(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Fe(1) atoms.
mp-865048,TiIr2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms. All Ti(1)-Ir(1) bond lengths are 2.64 Å. Ir(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Zn(1) atoms. All Ir(1)-Zn(1) bond lengths are 2.64 Å. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Ir(1) atoms.
mp-864883,MgPd2Sn is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Sn(1) atoms. All Mg(1)-Pd(1) bond lengths are 2.79 Å. All Mg(1)-Sn(1) bond lengths are 3.22 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Sn(1) atoms. All Pd(1)-Sn(1) bond lengths are 2.79 Å. Sn(1) is bonded in a distorted body-centered cubic geometry to six equivalent Mg(1) and eight equivalent Pd(1) atoms.
mp-555403,"K3WF6 is (Cubic) Perovskite-like structured and crystallizes in the cubic Fm-3m space group. There are two inequivalent K sites. In the first K site, K(1) is bonded to twelve equivalent F(1) atoms to form KF12 cuboctahedra that share corners with twelve equivalent K(1)F12 cuboctahedra, faces with six equivalent K(1)F12 cuboctahedra, faces with four equivalent K(2)F6 octahedra, and faces with four equivalent W(1)F6 octahedra. All K(1)-F(1) bond lengths are 3.20 Å. In the second K site, K(2) is bonded to six equivalent F(1) atoms to form KF6 octahedra that share corners with six equivalent W(1)F6 octahedra and faces with eight equivalent K(1)F12 cuboctahedra. The corner-sharing octahedra are not tilted. All K(2)-F(1) bond lengths are 2.45 Å. W(1) is bonded to six equivalent F(1) atoms to form WF6 octahedra that share corners with six equivalent K(2)F6 octahedra and faces with eight equivalent K(1)F12 cuboctahedra. The corner-sharing octahedra are not tilted. All W(1)-F(1) bond lengths are 2.06 Å. F(1) is bonded in a distorted linear geometry to one K(2), four equivalent K(1), and one W(1) atom."
mp-1216,"YbO is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Yb(1) is bonded to six equivalent O(1) atoms to form a mixture of edge and corner-sharing YbO6 octahedra. The corner-sharing octahedra are not tilted. All Yb(1)-O(1) bond lengths are 2.34 Å. O(1) is bonded to six equivalent Yb(1) atoms to form a mixture of edge and corner-sharing OYb6 octahedra. The corner-sharing octahedra are not tilted."
mp-24084,"HK1 is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. K(1) is bonded to six equivalent H(1) atoms to form a mixture of edge and corner-sharing KH6 octahedra. The corner-sharing octahedra are not tilted. All K(1)-H(1) bond lengths are 2.84 Å. H(1) is bonded to six equivalent K(1) atoms to form a mixture of edge and corner-sharing HK6 octahedra. The corner-sharing octahedra are not tilted."
mp-343,"PrN is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Pr(1) is bonded to six equivalent N(1) atoms to form a mixture of edge and corner-sharing PrN6 octahedra. The corner-sharing octahedra are not tilted. All Pr(1)-N(1) bond lengths are 2.61 Å. N(1) is bonded to six equivalent Pr(1) atoms to form a mixture of edge and corner-sharing NPr6 octahedra. The corner-sharing octahedra are not tilted."
mp-867771,TaRh2Cu is Heusler structured and crystallizes in the cubic Fm-3m space group. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Ta(1)-Rh(1) bond lengths are 2.64 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Ta(1) and four equivalent Cu(1) atoms. All Rh(1)-Cu(1) bond lengths are 2.64 Å. Cu(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-862290,LiFeRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Li(1)-Rh(1) bond lengths are 2.55 Å. Fe(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) atoms. All Fe(1)-Rh(1) bond lengths are 2.55 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Fe(1) atoms.
mp-865107,NaMgPb2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Na(1) is bonded in a body-centered cubic geometry to eight equivalent Pb(1) atoms. All Na(1)-Pb(1) bond lengths are 3.24 Å. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Pb(1) atoms. All Mg(1)-Pb(1) bond lengths are 3.24 Å. Pb(1) is bonded in a body-centered cubic geometry to four equivalent Na(1) and four equivalent Mg(1) atoms.
mp-1164,"ThC is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Th(1) is bonded to six equivalent C(1) atoms to form a mixture of edge and corner-sharing ThC6 octahedra. The corner-sharing octahedra are not tilted. All Th(1)-C(1) bond lengths are 2.68 Å. C(1) is bonded to six equivalent Th(1) atoms to form a mixture of edge and corner-sharing CTh6 octahedra. The corner-sharing octahedra are not tilted."
